algo,controle,risque,graine,score,temps_s,fin
glouton,espace,loin_queue,443,221,1638.4,boucle
glouton,espace,loin_queue,432,214,2121.6,boucle
glouton,espace,loin_queue,433,211,1001.6,mort
glouton,espace,loin_queue,434,223,1085.6,victoire
glouton,espace,loin_queue,435,223,1042.4,victoire
glouton,espace,loin_queue,460,209,1074.8,mort
glouton,espace,loin_queue,461,121,359.4,mort
glouton,espace,loin_queue,462,210,1086.0,mort
glouton,espace,loin_queue,463,100,220.2,mort
glouton,espace,loin_queue,448,106,276.0,mort
glouton,espace,loin_queue,449,223,918.2,victoire
glouton,espace,loin_queue,450,218,1603.4,boucle
glouton,espace,loin_queue,451,215,1673.0,boucle
glouton,espace,loin_queue,420,201,2416.2,boucle
glouton,espace,loin_queue,421,221,1759.0,boucle
glouton,espace,loin_queue,422,210,1574.2,boucle
glouton,espace,loin_queue,423,222,1028.4,mort
glouton,espace,loin_queue,452,169,1222.4,boucle
glouton,espace,loin_queue,453,214,1723.4,boucle
glouton,espace,loin_queue,454,223,1148.0,victoire
glouton,espace,loin_queue,455,118,355.4,mort
glouton,espace,loin_queue,456,219,1549.8,boucle
glouton,espace,loin_queue,457,121,274.2,mort
glouton,espace,loin_queue,458,211,2507.0,boucle
glouton,espace,loin_queue,459,114,291.8,mort
glouton,espace,loin_queue,472,95,196.4,mort
glouton,espace,loin_queue,473,116,280.6,mort
glouton,espace,loin_queue,474,220,1467.0,boucle
glouton,espace,loin_queue,475,200,898.0,mort
glouton,espace,loin_queue,464,218,1631.0,boucle
glouton,espace,loin_queue,465,145,540.8,mort
glouton,espace,loin_queue,466,151,643.6,mort
glouton,espace,loin_queue,467,216,1618.8,boucle
glouton,espace,loin_queue,476,120,295.6,mort
glouton,espace,loin_queue,477,219,1588.6,boucle
glouton,espace,loin_queue,478,148,555.8,mort
glouton,espace,loin_queue,479,199,1060.2,mort
glouton,espace,loin_queue,484,223,1014.0,victoire
glouton,espace,loin_queue,485,194,1371.0,mort
glouton,espace,loin_queue,486,93,216.8,mort
glouton,espace,loin_queue,487,87,205.4,mort
glouton,espace,loin_queue,492,127,363.2,mort
glouton,espace,loin_queue,493,219,1624.6,boucle
glouton,espace,loin_queue,494,166,874.2,mort
glouton,espace,loin_queue,495,125,340.4,mort
glouton,espace,loin_queue,488,200,898.6,mort
glouton,espace,loin_queue,489,109,243.0,mort
glouton,espace,loin_queue,490,209,928.4,mort
glouton,espace,loin_queue,491,162,750.4,mort
glouton,espace,loin_queue,468,179,1166.0,mort
glouton,espace,loin_queue,469,223,1381.6,victoire
glouton,espace,loin_queue,470,210,1563.8,boucle
glouton,espace,loin_queue,471,195,1642.6,boucle
glouton,espace,loin_queue,480,213,1335.0,mort
glouton,espace,loin_queue,481,223,1002.4,victoire
glouton,espace,loin_queue,482,143,560.4,mort
glouton,espace,loin_queue,483,212,1662.2,boucle
glouton,espace,loin_queue,496,213,853.8,mort
glouton,espace,loin_queue,497,124,368.8,mort
glouton,espace,loin_queue,498,202,910.6,mort
glouton,espace,loin_queue,499,169,1421.6,boucle
glouton,espace,loin_queue,504,212,874.4,mort
glouton,espace,loin_queue,505,222,843.6,mort
glouton,espace,loin_queue,506,216,990.8,mort
glouton,espace,loin_queue,507,133,438.0,mort
glouton,espace,loin_queue,520,59,99.6,mort
glouton,espace,loin_queue,521,137,404.2,mort
