partie,score,record,mean100,epsilon,steps,temps_s,victoire
86,11,23,5.628,0.0728,12975,84.9,0
87,5,23,5.621,0.0707,13039,85.4,0
88,17,23,5.750,0.0685,13195,86.5,0
89,10,23,5.798,0.0665,13294,87.2,0
90,14,23,5.889,0.0645,13430,88.1,0
91,10,23,5.934,0.0626,13518,88.7,0
92,25,25,6.141,0.0607,13756,90.4,0
93,14,25,6.226,0.0589,13897,91.4,0
94,12,25,6.287,0.0571,14024,92.3,0
95,17,25,6.400,0.0554,14169,93.3,0
96,16,25,6.500,0.0537,14301,94.2,0
97,23,25,6.670,0.0521,14484,95.5,0
98,22,25,6.827,0.0505,14671,96.8,0
99,46,46,7.222,0.0490,15108,99.8,0
100,15,46,7.300,0.0476,15312,101.1,0
101,11,46,7.410,0.0461,15430,105.5,0
102,12,46,7.530,0.0447,15540,106.3,0
103,41,46,7.940,0.0434,15965,109.2,0
104,19,46,8.130,0.0421,16123,110.3,0
105,29,46,8.420,0.0408,16442,112.4,0
106,21,46,8.620,0.0396,16654,113.9,0
107,10,46,8.720,0.0384,16752,114.6,0
108,13,46,8.850,0.0373,16883,115.5,0
109,31,46,9.160,0.0362,17148,117.4,0
110,9,46,9.250,0.0351,17240,118.0,0
111,18,46,9.430,0.0340,17396,119.1,0
112,29,46,9.700,0.0330,17659,121.0,0
113,14,46,9.820,0.0320,17790,121.9,0
114,20,46,10.000,0.0310,17941,123.0,0
115,32,46,10.300,0.0301,18250,125.0,0
116,13,46,10.400,0.0292,18377,125.9,0
117,7,46,10.450,0.0283,18422,126.2,0
118,11,46,10.560,0.0275,18495,126.8,0
119,16,46,10.700,0.0267,18664,128.0,0
120,24,46,10.920,0.0259,18882,129.5,0
121,9,46,10.990,0.0251,18959,130.0,0
122,21,46,11.170,0.0243,19143,131.3,0
123,12,46,11.270,0.0236,19258,132.1,0
124,36,46,11.600,0.0229,19592,134.4,0
125,16,46,11.710,0.0222,19704,135.2,0
126,25,46,11.940,0.0215,19905,136.6,0
127,21,46,12.110,0.0209,20079,137.8,0
128,18,46,12.270,0.0203,20238,138.9,0
129,11,46,12.360,0.0197,20339,139.6,0
130,28,46,12.600,0.0191,20528,140.9,0
131,18,46,12.760,0.0185,20692,142.1,0
132,35,46,13.070,0.0179,21049,144.6,0
133,41,46,13.450,0.0174,21511,147.7,0
134,20,46,13.620,0.0169,21691,149.0,0
135,35,46,13.910,0.0164,22031,151.5,0
136,22,46,14.090,0.0159,22256,153.1,0
137,20,46,14.260,0.0154,22435,154.3,0
138,23,46,14.460,0.0149,22656,155.8,0
139,21,46,14.610,0.0145,22838,157.1,0
140,10,46,14.690,0.0141,22925,157.7,0
141,25,46,14.900,0.0136,23147,159.3,0
142,15,46,15.010,0.0132,23257,160.1,0
143,31,46,15.290,0.0128,23589,162.5,0
144,18,46,15.440,0.0124,23779,163.9,0
145,31,46,15.720,0.0121,24052,165.8,0
146,28,46,15.950,0.0117,24323,167.7,0
147,9,46,16.000,0.0114,24395,168.3,0
148,17,46,16.150,0.0110,24536,169.4,0
149,25,46,16.350,0.0107,24788,171.1,0
150,26,46,16.590,0.0104,24978,172.5,0
151,26,46,16.750,0.0101,25255,174.5,0
152,30,46,17.010,0.0100,25549,176.6,0
153,20,46,17.050,0.0100,25712,177.8,0
154,30,46,17.220,0.0100,25982,180.0,0
155,17,46,17.360,0.0100,26110,180.9,0
156,44,46,17.610,0.0100,26586,184.5,0
157,23,46,17.780,0.0100,26755,185.7,0
158,33,46,18.050,0.0100,27036,187.7,0
159,33,46,18.300,0.0100,27330,189.8,0
160,15,46,18.320,0.0100,27439,190.7,0
161,43,46,18.620,0.0100,27842,193.6,0
162,23,46,18.660,0.0100,28035,195.2,0
163,32,46,18.890,0.0100,28305,197.2,0
164,14,46,18.960,0.0100,28412,198.0,0
165,20,46,19.090,0.0100,28573,199.4,0
166,14,46,19.140,0.0100,28694,200.2,0
167,34,46,19.440,0.0100,28978,202.3,0
168,13,46,19.540,0.0100,29069,203.0,0
169,38,46,19.770,0.0100,29463,206.1,0
170,24,46,19.990,0.0100,29679,207.6,0
171,27,46,20.180,0.0100,29940,209.7,0
172,21,46,20.310,0.0100,30082,210.9,0
173,28,46,20.500,0.0100,30297,212.7,0
174,20,46,20.620,0.0100,30494,214.3,0
175,18,46,20.680,0.0100,30690,215.7,0
176,25,46,20.810,0.0100,30916,217.5,0
177,39,46,21.040,0.0100,31290,220.5,0
178,13,46,21.080,0.0100,31397,221.4,0
179,46,46,21.390,0.0100,31814,224.6,0
180,18,46,21.340,0.0100,31957,225.6,0
181,23,46,21.500,0.0100,32151,226.9,0
182,46,46,21.810,0.0100,32610,230.3,0
183,11,46,21.830,0.0100,32691,230.9,0
184,51,51,22.220,0.0100,33182,234.5,0
185,17,51,22.330,0.0100,33339,235.6,0
186,16,51,22.380,0.0100,33507,236.9,0
187,34,51,22.670,0.0100,33787,239.0,0
188,12,51,22.620,0.0100,33887,239.8,0
