partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
188,0,3,0.303,301,nan,0.0,136.79
189,0,3,0.302,301,nan,0.0,137.81
190,0,3,0.3,301,nan,0.0,138.85
191,0,3,0.298,301,nan,0.0,139.87
192,0,3,0.297,301,nan,0.0,140.91
193,0,3,0.295,301,nan,0.0,141.93
194,1,3,0.299,420,420.0,0.0119,143.18
195,0,3,0.297,301,nan,0.0,144.19
196,0,3,0.296,301,nan,0.0,145.23
197,0,3,0.294,301,nan,0.0,146.24
198,0,3,0.293,301,nan,0.0,147.27
199,0,3,0.291,301,nan,0.0,148.3
200,0,3,0.29,301,nan,0.0,149.31
201,1,3,0.294,464,464.0,0.0108,150.66
202,0,3,0.292,301,nan,0.0,151.68
203,0,3,0.291,301,nan,0.0,152.71
204,0,3,0.289,301,nan,0.0,153.77
205,0,3,0.288,301,nan,0.0,154.79
206,0,3,0.286,301,nan,0.0,155.77
207,1,3,0.29,412,412.0,0.0121,156.55
208,0,3,0.288,301,nan,0.0,157.18
209,0,3,0.287,301,nan,0.0,157.83
210,0,3,0.286,301,nan,0.0,158.47
211,0,3,0.284,301,nan,0.0,159.15
212,0,3,0.283,301,nan,0.0,159.82
213,0,3,0.282,301,nan,0.0,160.46
214,0,3,0.28,301,nan,0.0,161.09
215,0,3,0.279,301,nan,0.0,161.77
216,0,3,0.278,301,nan,0.0,162.58
217,0,3,0.276,301,nan,0.0,163.33
218,0,3,0.275,301,nan,0.0,163.97
219,0,3,0.274,301,nan,0.0,164.67
220,0,3,0.273,301,nan,0.0,165.32
221,2,3,0.281,505,252.5,0.0198,166.22
222,0,3,0.279,301,nan,0.0,166.86
223,2,3,0.287,545,272.5,0.0183,167.83
224,0,3,0.286,301,nan,0.0,168.46
225,0,3,0.284,301,nan,0.0,169.11
226,0,3,0.283,301,nan,0.0,169.75
227,0,3,0.282,301,nan,0.0,170.39
228,0,3,0.281,301,nan,0.0,171.03
229,0,3,0.279,301,nan,0.0,171.77
230,1,3,0.283,422,422.0,0.0118,172.57
231,1,3,0.286,405,405.0,0.0123,173.34
232,0,3,0.284,301,nan,0.0,173.98
233,0,3,0.283,301,nan,0.0,174.65
234,0,3,0.282,301,nan,0.0,175.28
235,0,3,0.281,301,nan,0.0,175.94
236,0,3,0.28,301,nan,0.0,176.58
237,0,3,0.278,301,nan,0.0,177.22
238,0,3,0.277,301,nan,0.0,177.87
239,1,3,0.28,412,412.0,0.0121,178.64
240,0,3,0.279,301,nan,0.0,179.28
241,0,3,0.278,301,nan,0.0,179.95
242,0,3,0.277,301,nan,0.0,180.59
243,0,3,0.276,301,nan,0.0,181.22
244,0,3,0.275,301,nan,0.0,181.86
245,0,3,0.273,301,nan,0.0,182.49
246,0,3,0.272,301,nan,0.0,183.13
247,0,3,0.271,301,nan,0.0,183.76
248,0,3,0.27,301,nan,0.0,184.4
249,0,3,0.269,301,nan,0.0,185.07
250,0,3,0.268,301,nan,0.0,186.1
251,0,3,0.267,301,nan,0.0,187.13
252,2,3,0.274,71,35.5,0.1408,187.71
253,2,3,0.281,610,305.0,0.0164,189.33
254,0,3,0.28,301,nan,0.0,190.35
255,1,3,0.282,410,410.0,0.0122,191.59
256,0,3,0.281,301,nan,0.0,192.61
257,0,3,0.28,301,nan,0.0,193.62
258,0,3,0.279,301,nan,0.0,194.65
259,0,3,0.278,301,nan,0.0,195.68
260,0,3,0.277,301,nan,0.0,196.69
261,0,3,0.276,301,nan,0.0,197.71
262,0,3,0.275,301,nan,0.0,198.71
263,0,3,0.274,301,nan,0.0,199.74
264,0,3,0.273,301,nan,0.0,200.75
265,0,3,0.272,301,nan,0.0,201.78
266,0,3,0.271,301,nan,0.0,202.81
267,0,3,0.27,301,nan,0.0,203.83
268,0,3,0.269,301,nan,0.0,204.86
269,0,3,0.268,301,nan,0.0,205.89
270,1,3,0.27,406,406.0,0.0123,207.1
271,0,3,0.269,301,nan,0.0,208.12
272,1,3,0.272,409,409.0,0.0122,209.35
273,1,3,0.275,410,410.0,0.0122,210.57
274,0,3,0.274,301,nan,0.0,211.59
275,1,3,0.276,426,426.0,0.0117,212.86
276,1,3,0.279,402,402.0,0.0124,214.08
277,0,3,0.278,301,nan,0.0,215.06
278,0,3,0.277,301,nan,0.0,216.11
