partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
45,14,18,5.178,219,15.64,0.3196,33.67
46,2,18,5.109,68,34.0,0.1471,34.24
47,11,18,5.234,202,18.36,0.2723,35.04
48,2,18,5.167,13,6.5,0.7692,35.5
49,10,18,5.265,179,17.9,0.2793,36.3
50,4,18,5.24,51,12.75,0.3922,36.83
51,2,18,5.176,42,21.0,0.2381,37.34
52,5,18,5.173,95,19.0,0.2632,37.95
53,14,18,5.34,249,17.79,0.2811,38.9
54,13,18,5.481,166,12.77,0.3916,39.64
55,3,18,5.436,35,11.67,0.4286,40.13
56,7,18,5.464,90,12.86,0.3889,40.74
57,12,18,5.579,163,13.58,0.3681,41.53
58,12,18,5.69,275,22.92,0.2182,42.5
59,20,20,5.932,315,15.75,0.3175,43.58
60,15,20,6.083,271,18.07,0.2768,44.51
61,13,20,6.197,164,12.62,0.3963,45.35
62,3,20,6.145,53,17.67,0.283,45.88
63,27,27,6.476,344,12.74,0.3924,46.99
64,14,27,6.594,161,11.5,0.4348,47.72
65,8,27,6.615,85,10.62,0.4706,48.31
66,19,27,6.803,273,14.37,0.348,49.25
67,16,27,6.94,225,14.06,0.3556,50.09
68,9,27,6.971,116,12.89,0.3879,50.75
69,26,27,7.246,289,11.12,0.4498,51.72
70,17,27,7.386,268,15.76,0.3172,52.66
71,14,27,7.479,202,14.43,0.3465,53.49
72,8,27,7.486,152,19.0,0.2632,54.21
73,25,27,7.726,328,13.12,0.3811,55.25
74,15,27,7.824,247,16.47,0.3036,56.22
75,12,27,7.88,115,9.58,0.5217,56.91
76,16,27,7.987,213,13.31,0.3756,57.76
77,21,27,8.156,234,11.14,0.4487,58.67
78,27,27,8.397,283,10.48,0.477,59.65
79,20,27,8.544,225,11.25,0.4444,60.51
80,11,27,8.575,129,11.73,0.4264,61.19
81,28,28,8.815,267,9.54,0.5243,62.12
82,18,28,8.927,239,13.28,0.3766,63.0
83,18,28,9.036,164,9.11,0.5488,63.73
84,27,28,9.25,385,14.26,0.3506,64.87
85,29,29,9.482,350,12.07,0.4143,65.99
86,29,29,9.709,371,12.79,0.3908,67.14
87,11,29,9.724,127,11.55,0.4331,67.81
88,33,33,9.989,425,12.88,0.3882,69.11
89,44,44,10.371,541,12.3,0.4067,70.57
90,22,44,10.5,225,10.23,0.4889,71.6
91,8,44,10.473,77,9.62,0.5195,72.19
92,40,44,10.793,403,10.07,0.4963,73.42
93,26,44,10.957,295,11.35,0.4407,74.43
94,32,44,11.181,360,11.25,0.4444,75.57
95,38,44,11.463,505,13.29,0.3762,77.0
96,20,44,11.552,207,10.35,0.4831,77.82
97,23,44,11.67,230,10.0,0.5,78.7
98,26,44,11.816,337,12.96,0.3858,79.77
99,30,44,12.0,358,11.93,0.419,80.92
100,26,44,12.14,280,10.77,0.4643,81.95
101,32,44,12.337,340,10.62,0.4706,83.2
102,22,44,12.431,267,12.14,0.412,84.14
103,18,44,12.485,254,14.11,0.3543,85.06
104,20,44,12.558,241,12.05,0.4149,85.95
105,22,44,12.648,264,12.0,0.4167,86.88
106,27,44,12.783,356,13.19,0.3792,87.98
107,17,44,12.822,196,11.53,0.4337,88.79
108,42,44,13.093,562,13.38,0.3737,90.28
109,50,50,13.431,599,11.98,0.4174,91.83
110,21,50,13.5,214,10.19,0.4907,92.66
111,42,50,13.757,491,11.69,0.4277,94.01
112,37,50,13.964,529,14.3,0.3497,95.48
113,8,50,13.912,107,13.38,0.3738,96.11
114,42,50,14.158,586,13.95,0.3584,97.64
115,36,50,14.348,451,12.53,0.3991,98.94
116,33,50,14.509,485,14.7,0.3402,100.28
117,34,50,14.675,437,12.85,0.389,101.52
118,29,50,14.797,409,14.1,0.3545,102.83
119,24,50,14.874,334,13.92,0.3593,103.88
120,37,50,15.058,482,13.03,0.3838,105.21
121,44,50,15.298,562,12.77,0.3915,106.78
122,25,50,15.377,335,13.4,0.3731,107.84
123,29,50,15.488,314,10.83,0.4618,108.83
124,20,50,15.524,216,10.8,0.463,109.66
125,17,50,15.536,166,9.76,0.512,110.4
126,34,50,15.683,473,13.91,0.3594,111.77
127,13,50,15.661,162,12.46,0.4012,112.5
128,41,50,15.859,469,11.44,0.4371,113.79
129,22,50,15.907,280,12.73,0.3929,114.79
130,27,50,15.992,351,13.0,0.3846,115.84
131,41,50,16.183,685,16.71,0.2993,117.54
132,20,50,16.212,214,10.7,0.4673,118.37
133,37,50,16.368,427,11.54,0.4333,119.57
134,40,50,16.545,517,12.93,0.3868,120.95
135,42,50,16.733,489,11.64,0.4294,122.33
136,29,50,16.824,356,12.28,0.4073,123.55
137,13,50,16.796,167,12.85,0.3892,124.27
138,32,50,16.906,297,9.28,0.5387,125.33
139,29,50,16.993,378,13.03,0.3836,126.76
140,30,50,17.086,497,16.57,0.3018,128.34
141,20,50,17.106,201,10.05,0.4975,129.16
142,35,50,17.232,350,10.0,0.5,130.25
143,40,50,17.392,504,12.6,0.3968,131.65
144,27,50,17.458,292,10.81,0.4623,132.65
145,10,50,17.407,107,10.7,0.4673,133.45
146,30,50,17.493,372,12.4,0.4032,134.84
147,30,50,17.578,309,10.3,0.4854,136.0
148,37,50,17.709,436,11.78,0.4243,137.26
149,24,50,17.752,258,10.75,0.4651,138.18
150,29,50,17.827,294,10.14,0.4932,139.22
151,37,50,17.954,335,9.05,0.5522,140.3
152,32,50,18.046,360,11.25,0.4444,141.45
153,32,50,18.137,387,12.09,0.4134,142.63
154,34,50,18.24,457,13.44,0.372,144.01
155,34,50,18.342,371,10.91,0.4582,145.18
156,24,50,18.378,274,11.42,0.438,146.26
157,24,50,18.414,273,11.38,0.4396,147.21
158,28,50,18.475,345,12.32,0.4058,148.38
159,35,50,18.579,467,13.34,0.3747,149.71
160,22,50,18.6,216,9.82,0.5093,150.56
161,20,50,18.609,210,10.5,0.4762,151.39
162,17,50,18.599,201,11.82,0.4229,152.21
163,22,50,18.62,278,12.64,0.3957,153.19
164,16,50,18.604,167,10.44,0.479,153.96
165,36,50,18.709,384,10.67,0.4688,155.34
166,32,50,18.789,385,12.03,0.4156,156.69
167,44,50,18.94,548,12.45,0.4015,158.18
168,42,50,19.077,542,12.9,0.3875,159.95
169,27,50,19.124,305,11.3,0.4426,160.99
170,44,50,19.271,472,10.73,0.4661,162.54
171,34,50,19.357,339,9.97,0.5015,163.67
172,16,50,19.337,146,9.12,0.5479,164.5
173,22,50,19.353,233,10.59,0.4721,165.52
174,21,50,19.362,269,12.81,0.3903,166.45
175,23,50,19.383,236,10.26,0.4873,167.33
176,14,50,19.352,122,8.71,0.5738,168.23
177,11,50,19.305,115,10.45,0.4783,168.99
178,20,50,19.309,255,12.75,0.3922,169.89
179,28,50,19.358,342,12.21,0.4094,170.97
180,18,50,19.35,190,10.56,0.4737,171.77
181,9,50,19.293,103,11.44,0.4369,172.42
182,28,50,19.341,441,15.75,0.3175,173.63
183,33,50,19.415,336,10.18,0.4911,174.7
184,17,50,19.402,171,10.06,0.4971,175.46
185,18,50,19.395,188,10.44,0.4787,176.24
186,26,50,19.43,285,10.96,0.4561,177.2
187,10,50,19.38,123,12.3,0.4065,177.87
188,22,50,19.394,272,12.36,0.4044,178.81
189,44,50,19.524,531,12.07,0.4143,180.19
190,6,50,19.453,76,12.67,0.3947,180.76
191,34,50,19.529,469,13.79,0.3625,182.07
192,18,50,19.521,237,13.17,0.3797,182.93
193,21,50,19.528,259,12.33,0.4054,183.82
194,28,50,19.572,322,11.5,0.4348,184.85
195,22,50,19.585,240,10.91,0.4583,185.73
196,22,50,19.597,235,10.68,0.4681,186.59
197,21,50,19.604,215,10.24,0.4884,187.41
198,23,50,19.621,288,12.52,0.3993,188.36
199,21,50,19.628,218,10.38,0.4817,189.19
200,18,50,19.62,204,11.33,0.4412,189.99
201,8,50,19.562,101,12.62,0.396,190.6
202,18,50,19.554,184,10.22,0.4891,191.38
203,17,50,19.542,181,10.65,0.4696,192.15
204,29,50,19.588,340,11.72,0.4265,193.2
205,37,50,19.673,377,10.19,0.4907,194.35
206,17,50,19.66,198,11.65,0.4293,195.14
207,12,50,19.623,122,10.17,0.4918,195.78
208,44,50,19.74,613,13.93,0.3589,197.53
209,31,50,19.794,346,11.16,0.448,198.82
210,14,50,19.767,163,11.64,0.4294,199.54
211,32,50,19.825,409,12.78,0.3912,200.75
212,28,50,19.863,325,11.61,0.4308,201.83
213,31,50,19.915,359,11.58,0.4318,202.91
214,33,50,19.977,404,12.24,0.4084,204.17
215,40,50,20.07,474,11.85,0.4219,205.59
216,27,50,20.102,270,10.0,0.5,206.51
217,16,50,20.083,168,10.5,0.4762,207.3
218,40,50,20.174,483,12.07,0.4141,208.62
219,37,50,20.251,483,13.05,0.383,210.0
220,25,50,20.273,360,14.4,0.3472,211.11
221,21,50,20.276,228,10.86,0.4605,211.95
