[50/20000] score=1 steps=540 cause=famine_truncated eps=195.1607427575532
[10250/20000] score=35 steps=364 cause=corps eps=5.16545860186853
[10300/20000] score=30 steps=266 cause=corps eps=5.13668332646106
[10350/20000] score=33 steps=287 cause=corps eps=5.108618515134809
[10400/20000] score=19 steps=201 cause=corps eps=5.081246626469111
[10450/20000] score=41 steps=473 cause=corps eps=5.054550552142521
[10500/20000] score=26 steps=222 cause=corps eps=5.028513606239551
[10550/20000] score=47 steps=453 cause=corps eps=5.00311951482144
[10600/20000] score=10 steps=89 cause=corps eps=4.978352405754403
[10650/20000] score=17 steps=121 cause=corps eps=4.954196798789034
[10700/20000] score=54 steps=590 cause=corps eps=4.930637595884649
[10750/20000] score=63 steps=671 cause=corps eps=4.907660071772516
[10800/20000] score=55 steps=545 cause=corps eps=4.885249864752082
[10850/20000] score=35 steps=282 cause=corps eps=4.863392967714448
[10900/20000] score=74 steps=886 cause=corps eps=4.842075719387458
[10950/20000] score=24 steps=255 cause=corps eps=4.821284795796978
[11000/20000] score=40 steps=376 cause=corps eps=4.801007201938957
[11050/20000] score=65 steps=892 cause=corps eps=4.781230263657145
[11100/20000] score=41 steps=424 cause=corps eps=4.761941619721322
[11150/20000] score=54 steps=599 cause=corps eps=4.743129214101128
[11200/20000] score=76 steps=912 cause=corps eps=4.724781288430655
[11250/20000] score=22 steps=165 cause=corps eps=4.706886374659083
[11300/20000] score=81 steps=1249 cause=corps eps=4.689433287882777
[11350/20000] score=48 steps=509 cause=corps eps=4.672411119354356
[11400/20000] score=16 steps=164 cause=corps eps=4.655809229664369
[11450/20000] score=51 steps=537 cause=corps eps=4.639617242091325
[11500/20000] score=32 steps=294 cause=corps eps=4.623825036115894
[11550/20000] score=40 steps=433 cause=corps eps=4.608422741095264
[11600/20000] score=49 steps=510 cause=corps eps=4.59340073009366
[11650/20000] score=30 steps=229 cause=corps eps=4.578749613865195
[11700/20000] score=2 steps=25 cause=corps eps=4.564460234985296
[11750/20000] score=51 steps=520 cause=corps eps=4.550523662127
[11800/20000] score=13 steps=94 cause=corps eps=4.5369311844786
[11850/20000] score=49 steps=603 cause=corps eps=4.5236743062990925
[11900/20000] score=50 steps=540 cause=corps eps=4.5107447416080655
[11950/20000] score=14 steps=130 cause=corps eps=4.498134409006696
[12000/20000] score=35 steps=310 cause=corps eps=4.485835426626606
[12050/20000] score=42 steps=486 cause=corps eps=4.4738401072034435
[12100/20000] score=26 steps=264 cause=corps eps=4.462140953272085
[12150/20000] score=35 steps=411 cause=corps eps=4.4507306524804875
[12200/20000] score=46 steps=531 cause=corps eps=4.439602073019218
[12250/20000] score=50 steps=521 cause=corps eps=4.428748259163846
[12300/20000] score=65 steps=797 cause=corps eps=4.418162426927391
[12350/20000] score=12 steps=101 cause=corps eps=4.407837959820108
[12400/20000] score=28 steps=235 cause=corps eps=4.397768404713965
