cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
reconstruit,0.1,1021,True,223,6741,victoire,1.0,145,0.10222222222222223,146,2,0,88,97,18,2.98
reconstruit,0.1,1022,True,223,7008,victoire,1.0,147,0.10222222222222223,148,2,0,88,98,17,3.34
reconstruit,0.1,1023,True,223,8151,victoire,1.0,179,0.10222222222222223,183,5,0,75,102,26,3.97
reconstruit,0.1,1024,True,223,6382,victoire,1.0,159,0.10222222222222223,161,3,0,88,105,10,2.47
reconstruit,0.1,1025,True,223,6106,victoire,1.0,168,0.10222222222222223,171,4,0,90,100,13,2.5
reconstruit,0.1,1026,True,223,7290,victoire,1.0,174,0.10222222222222223,174,1,0,88,96,19,3.32
reconstruit,0.1,1027,True,223,6357,victoire,1.0,152,0.10222222222222223,155,4,0,77,117,9,2.57
reconstruit,0.1,1028,True,223,6406,victoire,1.0,157,0.10222222222222223,157,1,0,92,97,13,2.71
reconstruit,0.1,1029,True,223,6635,victoire,1.0,166,0.10222222222222223,169,4,0,88,89,26,3.3
reconstruit,0.15,1000,True,223,6265,victoire,1.0,273,0.1511111111111111,274,2,0,81,98,13,2.9
reconstruit,0.15,1001,True,223,6075,victoire,1.0,237,0.1511111111111111,241,5,0,92,93,7,1.96
reconstruit,0.15,1002,True,223,6838,victoire,1.0,245,0.1511111111111111,252,8,0,88,91,13,3.03
reconstruit,0.15,1003,True,223,7335,victoire,1.0,210,0.1511111111111111,224,15,0,79,95,18,3.54
reconstruit,0.15,1004,True,223,5561,victoire,1.0,234,0.1511111111111111,234,1,0,93,86,12,2.31
reconstruit,0.15,1005,True,223,6032,victoire,1.0,243,0.1511111111111111,245,3,0,85,103,4,2.4
reconstruit,0.15,1006,True,223,6743,victoire,1.0,270,0.1511111111111111,273,4,0,77,102,11,2.49
reconstruit,0.15,1007,True,223,6322,victoire,1.0,264,0.1511111111111111,268,5,0,95,87,10,2.52
reconstruit,0.15,1008,True,223,6268,victoire,1.0,237,0.1511111111111111,248,12,0,62,112,17,2.88
reconstruit,0.15,1009,True,223,5902,victoire,1.0,246,0.1511111111111111,247,2,0,73,93,26,3.81
reconstruit,0.15,1010,True,223,6013,victoire,1.0,229,0.1511111111111111,231,3,0,78,103,11,2.51
reconstruit,0.15,1011,True,223,6967,victoire,1.0,230,0.1511111111111111,230,1,0,59,112,21,3.8
reconstruit,0.15,1012,True,223,6674,victoire,1.0,275,0.1511111111111111,282,8,0,78,93,21,3.39
reconstruit,0.15,1013,True,223,6248,victoire,1.0,245,0.1511111111111111,250,6,0,60,111,21,2.99
reconstruit,0.15,1014,True,223,6320,victoire,1.0,226,0.1511111111111111,234,9,0,79,97,15,2.85
reconstruit,0.15,1015,True,223,6082,victoire,1.0,244,0.1511111111111111,246,3,0,68,105,19,3.1
reconstruit,0.15,1016,True,223,6708,victoire,1.0,249,0.1511111111111111,256,8,0,87,86,19,3.45
reconstruit,0.15,1017,True,223,5937,victoire,1.0,240,0.1511111111111111,256,17,0,95,86,10,2.36
reconstruit,0.15,1018,True,223,6311,victoire,1.0,252,0.1511111111111111,261,10,0,89,92,11,2.44
reconstruit,0.15,1019,True,223,6324,victoire,1.0,242,0.1511111111111111,245,4,0,87,81,24,3.68
reconstruit,0.15,1020,True,223,6675,victoire,1.0,267,0.1511111111111111,268,2,0,81,85,26,3.48
reconstruit,0.15,1021,True,223,5873,victoire,1.0,238,0.1511111111111111,250,13,0,82,103,7,2.02
reconstruit,0.15,1022,True,223,6433,victoire,1.0,239,0.1511111111111111,240,2,0,87,93,11,2.65
reconstruit,0.15,1023,True,223,5955,victoire,1.0,260,0.1511111111111111,264,5,0,83,91,18,3.17
reconstruit,0.15,1024,True,223,6276,victoire,1.0,267,0.1511111111111111,275,9,0,89,87,15,3.13
reconstruit,0.15,1025,True,223,7700,victoire,1.0,251,0.1511111111111111,260,10,0,63,116,12,2.98
reconstruit,0.15,1026,True,223,5091,victoire,1.0,280,0.1511111111111111,296,17,0,90,95,7,1.84
reconstruit,0.15,1027,True,223,6465,victoire,1.0,244,0.1511111111111111,252,9,0,75,103,14,2.98
reconstruit,0.15,1028,True,223,6035,victoire,1.0,234,0.1511111111111111,235,2,0,95,87,10,2.28
reconstruit,0.15,1029,True,223,6600,victoire,1.0,262,0.1511111111111111,267,6,0,76,88,28,4.02
reconstruit,0.2,1000,True,223,5835,victoire,1.0,382,0.2,397,16,0,82,84,15,2.39
reconstruit,0.2,1001,True,223,6262,victoire,1.0,330,0.2,356,27,0,73,86,22,3.54
reconstruit,0.2,1002,True,223,5715,victoire,1.0,337,0.2,353,17,0,73,96,12,2.74
reconstruit,0.2,1003,True,223,6032,victoire,1.0,308,0.2,308,1,0,79,88,14,3.01
reconstruit,0.2,1004,True,223,5500,victoire,1.0,322,0.2,337,16,0,76,91,14,2.74
reconstruit,0.2,1005,True,223,6407,victoire,1.0,349,0.2,352,4,0,64,96,20,3.76
reconstruit,0.2,1006,True,223,6962,victoire,1.0,369,0.2,384,16,0,77,88,16,3.24
reconstruit,0.2,1007,True,223,5501,victoire,1.0,344,0.2,358,15,0,84,80,17,3.06
reconstruit,0.2,1008,True,223,5358,victoire,1.0,327,0.2,343,17,0,82,96,3,1.86
reconstruit,0.2,1009,True,223,5966,victoire,1.0,347,0.2,366,20,0,78,91,11,2.49
reconstruit,0.2,1010,True,223,5280,victoire,1.0,317,0.2,341,25,0,81,92,7,2.44
reconstruit,0.2,1011,True,223,5487,victoire,1.0,330,0.2,331,2,0,73,98,9,2.19
reconstruit,0.2,1012,True,223,5508,victoire,1.0,383,0.2,398,16,0,82,84,15,2.74
reconstruit,0.2,1013,True,223,5559,victoire,1.0,319,0.2,319,1,0,82,95,4,1.87
reconstruit,0.2,1014,True,223,6412,victoire,1.0,339,0.2,346,8,0,68,101,12,2.82
reconstruit,0.2,1015,True,223,6214,victoire,1.0,355,0.2,360,6,0,76,94,11,2.19
reconstruit,0.2,1016,True,223,6112,victoire,1.0,338,0.2,365,28,0,62,105,13,2.78
reconstruit,0.2,1017,True,223,5775,victoire,1.0,348,0.2,351,4,0,63,104,14,3.01
reconstruit,0.2,1018,True,223,5930,victoire,1.0,340,0.2,352,13,0,86,86,8,2.27
reconstruit,0.2,1019,True,223,5806,victoire,1.0,356,0.2,363,8,0,81,87,13,2.9
reconstruit,0.2,1020,True,223,6405,victoire,1.0,355,0.2,386,32,0,74,94,12,2.77
reconstruit,0.2,1021,True,223,5189,victoire,1.0,316,0.2,317,2,0,82,90,8,1.97
reconstruit,0.2,1022,True,223,5533,victoire,1.0,337,0.2,351,15,0,77,95,9,2.42
reconstruit,0.2,1023,True,223,5693,victoire,1.0,336,0.2,343,8,0,71,100,10,2.39
reconstruit,0.2,1024,True,223,5925,victoire,1.0,358,0.2,359,2,0,58,112,11,2.63
reconstruit,0.2,1025,True,223,6082,victoire,1.0,362,0.2,379,18,0,83,85,13,2.75
reconstruit,0.2,1026,True,223,7377,victoire,1.0,374,0.2,380,7,0,55,103,23,3.82
reconstruit,0.2,1027,True,223,5476,victoire,1.0,344,0.2,352,9,0,79,84,17,2.75
reconstruit,0.2,1028,True,223,6437,victoire,1.0,339,0.2,343,5,0,71,97,11,2.35
reconstruit,0.2,1029,True,223,5861,victoire,1.0,364,0.2,393,30,0,79,79,21,3.28
reconstruit,0.25,1000,True,223,5048,victoire,1.0,491,0.25333333333333335,505,15,0,66,90,11,2.21
reconstruit,0.25,1001,True,223,4695,victoire,1.0,436,0.25333333333333335,452,17,0,80,85,4,1.65
reconstruit,0.25,1002,True,223,5588,victoire,1.0,460,0.25333333333333335,473,14,0,72,90,6,1.94
reconstruit,0.25,1003,True,223,5077,victoire,1.0,419,0.25333333333333335,453,35,0,79,81,9,2.06
reconstruit,0.25,1004,True,223,4283,victoire,1.0,429,0.25333333333333335,433,5,0,69,91,9,1.95
reconstruit,0.25,1005,True,223,5232,victoire,1.0,455,0.25333333333333335,474,20,0,66,92,11,2.13
reconstruit,0.25,1006,True,223,5343,victoire,1.0,449,0.25333333333333335,475,27,0,61,88,20,3.0
reconstruit,0.25,1007,True,223,5744,victoire,1.0,451,0.25333333333333335,461,11,0,68,87,14,2.58
reconstruit,0.25,1008,True,223,5342,victoire,1.0,402,0.25333333333333335,410,9,0,66,93,10,2.31
reconstruit,0.25,1009,True,223,5843,victoire,1.0,414,0.25333333333333335,441,28,0,71,84,13,2.5
reconstruit,0.25,1010,True,223,5269,victoire,1.0,483,0.25333333333333335,527,45,0,68,88,13,2.1
reconstruit,0.25,1011,True,223,5942,victoire,1.0,432,0.25333333333333335,434,3,0,71,87,11,2.43
reconstruit,0.25,1012,True,223,5358,victoire,1.0,510,0.25333333333333335,553,44,0,67,92,8,2.1
reconstruit,0.25,1013,True,223,5353,victoire,1.0,427,0.25333333333333335,429,3,0,78,83,8,2.18
reconstruit,0.25,1014,True,223,6094,victoire,1.0,436,0.25333333333333335,469,34,0,68,86,15,2.64
reconstruit,0.25,1015,True,223,5172,victoire,1.0,437,0.25333333333333335,480,44,0,83,79,6,1.85
reconstruit,0.25,1016,True,223,5043,victoire,1.0,441,0.25333333333333335,441,1,0,67,91,9,2.3
reconstruit,0.25,1017,True,223,5232,victoire,1.0,445,0.25333333333333335,475,31,0,54,105,8,2.26
reconstruit,0.25,1018,True,223,6462,victoire,1.0,479,0.25333333333333335,499,21,0,61,91,16,2.91
reconstruit,0.25,1019,True,223,5790,victoire,1.0,478,0.25333333333333335,485,8,0,63,96,9,2.34
reconstruit,0.25,1020,True,223,4997,victoire,1.0,448,0.25333333333333335,452,5,0,77,84,8,1.97
reconstruit,0.25,1021,True,223,5747,victoire,1.0,401,0.25333333333333335,535,135,0,29,108,20,3.06
reconstruit,0.25,1022,True,223,5579,victoire,1.0,437,0.25333333333333335,446,10,0,83,78,7,2.29
reconstruit,0.25,1023,True,223,4966,victoire,1.0,456,0.25333333333333335,489,34,0,67,89,13,2.66
reconstruit,0.25,1024,True,223,6054,victoire,1.0,481,0.25333333333333335,488,8,0,63,99,7,1.89
reconstruit,0.25,1025,True,223,5023,victoire,1.0,482,0.25333333333333335,482,1,0,73,81,15,2.52
