cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,switch_by,secours,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
temporel,0.5,1010,True,223,5616,victoire,1.0,1370,0.5022222222222222,seuil,1,1370,0,0,73,34,7,4.72
temporel,0.5,1011,False,220,5246,corps,0.9911111111111112,1171,0.5022222222222222,seuil,3,1171,0,0,64,35,12,4.95
temporel,0.5,1012,True,223,6362,victoire,1.0,1416,0.5022222222222222,seuil,1,1416,0,0,69,35,10,4.71
temporel,0.5,1013,False,221,5134,corps,0.9955555555555555,1099,0.5022222222222222,seuil,6,1099,0,0,57,42,13,3.88
temporel,0.5,1014,False,179,3573,corps,0.8088888888888889,1383,0.5022222222222222,seuil,10,1383,0,0,49,17,4,2.93
temporel,0.5,1015,True,223,5482,victoire,1.0,1329,0.5022222222222222,seuil,2,1329,0,0,72,36,7,4.44
temporel,0.5,1016,False,208,4772,corps,0.9377777777777778,1251,0.5022222222222222,seuil,6,1251,0,0,65,25,9,3.83
temporel,0.5,1017,True,223,5267,victoire,1.0,1125,0.5022222222222222,seuil,6,1125,0,0,66,39,12,4.48
temporel,0.5,1018,False,160,3611,corps,0.7244444444444444,1470,0.5022222222222222,seuil,31,1470,0,0,28,19,4,5.8
temporel,0.5,1019,True,223,6009,victoire,1.0,1318,0.5022222222222222,seuil,48,1318,0,0,66,35,17,6.37
temporel,0.5,1020,True,223,4865,victoire,1.0,1230,0.5022222222222222,seuil,13,1230,0,0,66,39,12,4.91
temporel,0.5,1021,False,219,4961,corps,0.9866666666666667,1183,0.5022222222222222,seuil,34,1183,0,0,62,35,15,4.29
temporel,0.5,1022,True,223,5145,victoire,1.0,1146,0.5022222222222222,seuil,6,1146,0,0,73,36,8,4.31
temporel,0.5,1023,True,223,5536,victoire,1.0,1264,0.5022222222222222,seuil,4,1264,0,0,78,33,3,4.09
temporel,0.5,1024,True,223,5383,victoire,1.0,1235,0.5022222222222222,seuil,1,1235,0,0,68,38,8,4.46
temporel,0.5,1025,False,218,5250,corps,0.9822222222222222,1219,0.5022222222222222,seuil,9,1219,0,0,65,31,16,4.69
temporel,0.5,1026,True,223,6027,victoire,1.0,1272,0.5066666666666667,seuil,167,1272,0,0,72,29,16,5.26
temporel,0.5,1027,True,223,6216,victoire,1.0,1299,0.5022222222222222,seuil,139,1299,0,0,73,31,12,4.58
temporel,0.5,1028,True,223,5455,victoire,1.0,1239,0.5111111111111111,seuil,2,1239,0,0,68,37,8,4.55
temporel,0.5,1029,True,223,5751,victoire,1.0,1284,0.5066666666666667,seuil,4,1284,0,0,67,38,11,5.02
