partie,score,record,score_moyen,epsilon,victoire
22,2,4,1.773,0.5117,5495,211.1,0
23,2,4,1.783,0.4963,5531,211.5,0
24,2,4,1.792,0.4814,5590,212.1,0
25,3,4,1.840,0.4670,5691,213.3,0
26,2,4,1.846,0.4530,5769,214.0,0
27,2,4,1.852,0.4394,5891,215.5,0
28,2,4,1.857,0.4262,6065,217.3,0
29,5,5,1.966,0.4134,6326,220.9,0
30,2,5,1.967,0.4010,6444,222.3,0
31,8,8,2.161,0.3890,6603,224.3,0
32,5,8,2.250,0.3773,6712,225.9,0
33,5,8,2.333,0.3660,6879,228.1,0
34,6,8,2.441,0.3550,7026,230.1,0
35,2,8,2.429,0.3444,7129,231.2,0
36,5,8,2.500,0.3340,7251,232.9,0
37,3,8,2.514,0.3240,7364,234.4,0
38,3,8,2.526,0.3143,7537,236.5,0
39,6,8,2.615,0.3049,7721,238.5,0
40,3,8,2.625,0.2957,7864,240.0,0
41,5,8,2.683,0.2868,7999,241.5,0
42,5,8,2.738,0.2782,8066,242.3,0
43,2,8,2.721,0.2699,8089,242.5,0
44,5,8,2.773,0.2618,8168,243.4,0
45,8,8,2.889,0.2539,8334,245.1,0
46,2,8,2.870,0.2463,8430,246.2,0
47,13,13,3.085,0.2389,8667,248.9,0
48,4,13,3.104,0.2318,8811,250.6,0
49,12,13,3.286,0.2248,9114,254.5,0
50,5,13,3.320,0.2181,9206,255.6,0
51,7,13,3.392,0.2115,9301,256.9,0
52,3,13,3.385,0.2052,9391,258.2,0
53,8,13,3.472,0.1990,9617,261.2,0
54,6,13,3.519,0.1931,9706,262.2,0
55,8,13,3.600,0.1873,9821,263.8,0
56,3,13,3.589,0.1816,9900,264.6,0
57,6,13,3.632,0.1762,10002,265.6,0
58,3,13,3.621,0.1709,10078,266.5,0
59,10,13,3.729,0.1658,10195,267.7,0
60,9,13,3.817,0.1608,10323,269.0,0
61,19,19,4.066,0.1560,10653,273.1,0
62,15,19,4.242,0.1513,11019,277.9,0
63,7,19,4.286,0.1468,11152,279.1,0
64,13,19,4.422,0.1424,11317,280.9,0
65,18,19,4.631,0.1381,11602,283.3,0
66,10,19,4.712,0.1339,11755,284.4,0
67,7,19,4.746,0.1299,11939,285.5,0
68,3,19,4.721,0.1260,11980,285.7,0
69,9,19,4.783,0.1223,12098,286.4,0
70,3,19,4.757,0.1186,12153,286.7,0
71,11,19,4.845,0.1150,12380,288.1,0
72,14,19,4.972,0.1116,12568,289.1,0
73,3,19,4.945,0.1082,12669,289.6,0
74,11,19,5.027,0.1050,12918,290.9,0
75,17,19,5.187,0.1018,13129,292.1,0
76,4,19,5.171,0.0988,13245,292.7,0
77,14,19,5.286,0.0958,13421,293.7,0
78,16,19,5.423,0.0929,13594,294.5,0
79,13,19,5.519,0.0902,13772,295.4,0
80,16,19,5.650,0.0874,14024,296.7,0
81,7,19,5.667,0.0848,14150,297.3,0
82,6,19,5.671,0.0823,14304,298.1,0
83,24,24,5.892,0.0798,14813,300.7,0
84,8,24,5.917,0.0774,14951,301.4,0
85,19,24,6.071,0.0751,15235,302.8,0
86,11,24,6.128,0.0728,15410,303.6,0
87,12,24,6.195,0.0707,15550,304.3,0
88,10,24,6.239,0.0685,15691,305.0,0
89,12,24,6.303,0.0665,15845,305.8,0
90,14,24,6.389,0.0645,16003,306.6,0
91,18,24,6.516,0.0626,16314,308.2,0
92,15,24,6.609,0.0607,16506,309.1,0
93,5,24,6.591,0.0589,16612,309.6,0
94,12,24,6.649,0.0571,16802,310.7,0
95,30,30,6.895,0.0554,17131,312.4,0
96,19,30,7.021,0.0537,17344,313.5,0
97,17,30,7.124,0.0521,17542,314.4,0
98,19,30,7.245,0.0505,17785,315.6,0
99,3,30,7.202,0.0490,17823,315.8,0
100,4,30,7.170,0.0476,17875,316.1,0
101,15,30,7.310,0.0461,18061,319.1,0
102,25,30,7.560,0.0447,18310,320.1,0
103,6,30,7.600,0.0434,18362,320.3,0
104,8,30,7.660,0.0421,18465,320.7,0
105,9,30,7.750,0.0408,18572,321.2,0
106,8,30,7.810,0.0396,18645,321.5,0
107,8,30,7.870,0.0384,18734,321.9,0
108,14,30,7.990,0.0373,18864,322.4,0
109,18,30,8.150,0.0362,19092,323.4,0
110,37,37,8.480,0.0351,19507,325.2,0
111,25,37,8.710,0.0340,19774,326.3,0
112,26,37,8.950,0.0330,20096,327.7,0
113,27,37,9.200,0.0320,20426,329.1,0
114,15,37,9.330,0.0310,20615,329.9,0
115,13,37,9.440,0.0301,20804,330.7,0
116,23,37,9.670,0.0292,21123,332.2,0
117,6,37,9.710,0.0283,21194,332.5,0
118,12,37,9.810,0.0275,21337,333.2,0
119,30,37,10.090,0.0267,21624,334.5,0
120,35,37,10.420,0.0259,22041,336.3,0
121,17,37,10.570,0.0251,22242,337.3,0
122,22,37,10.770,0.0243,22480,338.4,0
123,25,37,11.000,0.0236,22796,339.9,0
124,29,37,11.270,0.0229,23160,341.6,0
125,23,37,11.470,0.0222,23447,342.9,0
126,39,39,11.840,0.0215,24021,345.5,0
127,22,39,12.040,0.0209,24298,346.8,0
128,7,39,12.090,0.0203,24382,347.2,0
129,18,39,12.220,0.0197,24610,348.2,0
130,35,39,12.550,0.0191,25031,350.1,0
131,23,39,12.700,0.0185,25311,351.5,0
132,13,39,12.780,0.0179,25455,352.1,0
133,28,39,13.010,0.0174,25776,353.7,0
134,16,39,13.110,0.0169,25926,354.4,0
135,25,39,13.340,0.0164,26206,355.6,0
136,21,39,13.500,0.0159,26474,356.9,0
137,17,39,13.640,0.0154,26685,357.9,0
138,26,39,13.870,0.0149,27051,359.6,0
139,14,39,13.950,0.0145,27191,360.3,0
140,24,39,14.160,0.0141,27463,361.5,0
141,10,39,14.210,0.0136,27550,362.0,0
142,34,39,14.500,0.0132,28015,364.2,0
143,17,39,14.650,0.0128,28211,365.2,0
144,19,39,14.790,0.0124,28399,366.1,0
145,19,39,14.900,0.0121,28615,367.1,0
146,23,39,15.110,0.0117,28834,368.2,0
147,30,39,15.280,0.0114,29329,370.8,0
148,26,39,15.500,0.0110,29654,372.3,0
149,15,39,15.530,0.0107,29835,373.2,0
150,20,39,15.680,0.0104,30059,374.3,0
151,17,39,15.780,0.0101,30276,375.2,0
152,36,39,16.110,0.0100,30673,377.0,0
153,20,39,16.230,0.0100,30833,377.8,0
154,22,39,16.390,0.0100,31084,379.0,0
155,15,39,16.460,0.0100,31464,380.6,0
156,35,39,16.780,0.0100,31871,381.9,0
157,16,39,16.880,0.0100,32079,382.7,0
158,21,39,17.060,0.0100,32362,383.7,0
159,17,39,17.130,0.0100,32523,384.3,0
160,24,39,17.280,0.0100,32837,385.6,0
161,36,39,17.450,0.0100,33273,387.3,0
162,14,39,17.440,0.0100,33440,387.9,0
163,13,39,17.500,0.0100,33533,388.2,0
164,30,39,17.670,0.0100,33929,389.6,0
165,29,39,17.780,0.0100,34308,390.7,0
166,22,39,17.900,0.0100,34571,391.8,0
167,31,39,18.140,0.0100,34951,393.1,0
168,18,39,18.290,0.0100,35164,393.9,0
169,14,39,18.340,0.0100,35311,394.4,0
170,33,39,18.640,0.0100,35687,395.9,0
171,27,39,18.800,0.0100,36002,397.1,0
172,11,39,18.770,0.0100,36119,397.5,0
173,28,39,19.020,0.0100,36454,398.6,0
174,15,39,19.060,0.0100,36657,399.2,0
175,27,39,19.160,0.0100,37024,400.5,0
176,10,39,19.220,0.0100,37134,401.0,0
177,14,39,19.220,0.0100,37281,401.6,0
178,37,39,19.430,0.0100,37728,403.3,0
179,25,39,19.550,0.0100,38078,404.4,0
180,48,48,19.870,0.0100,38742,407.0,0
181,15,48,19.950,0.0100,38897,407.5,0
182,33,48,20.220,0.0100,39323,409.0,0
183,28,48,20.260,0.0100,39662,410.1,0
184,15,48,20.330,0.0100,39829,410.7,0
185,12,48,20.260,0.0100,39964,411.2,0
186,30,48,20.450,0.0100,40273,412.2,0
187,22,48,20.550,0.0100,40510,412.9,0
188,12,48,20.570,0.0100,40630,413.4,0
189,14,48,20.590,0.0100,40758,414.0,0
190,22,48,20.670,0.0100,40977,414.8,0
191,14,48,20.630,0.0100,41157,415.6,0
